25 1:0.0132499704664 2:0.00765753407254 3:0.00336064655991 4:0.00345388168349 5:0.00562259054076 6:0.0236447248458 7:0.0111736128262 8:0.00586183895899 9:0.0091320327937 10:0.0406308832183 11:0.012610298991 12:0.0105651620742 13:0.0531000102881 14:0.0199816085481 15:0.0175451964347 16:0.075195240244 17:0.0184350981842 18:0.105766684218 19:0.0287259654332 20:0.288117308225 21:0.0763014794102 22:0.037276380024 23:0.00979625509233 24:0.0331042571175 25:0.0483582532442 26:0.00902745070916 27:0.052669973368 28:0.0581221855726 29:0.0713073083275 30:0.0865134444906 31:0.125113907985 32:0.305189631417 33:0.23502085766 34:0.0710573715942 35:0.0374360417076 36:0.0504591134854 37:0.0738527196424 38:0.0690922976319 39:0.277346039918 40:0.531316035368 41:0.133922384243 42:0.117372349761 43:0.0894826655183 44:0.0665404870364 45:0.869669867798 46:0.123208914579 47:0.15946951847 48:0.488170734354 49:0.597403391224 50:0.0949322090928 51:0.32812623394 52:1.0 53:0.171095669886 54:0.720954126293 55:0.786678426931 56:0.103430899047 57:0.873685367232 58:0.125121944896 59:0.739639571644 60:0.202981203373 61:0.68885285595 62:0.630611881977 63:0.102334487321 64:0.531803114652 65:0.455537933153 66:0.315568050947 67:0.199074262232 68:0.333396189823 69:0.314814029137 70:0.28768490018 71:0.240872950052 72:0.24437860459 73:0.26158418121 74:0.187339569821 75:0.163240904881 76:0.150298475556 77:0.136027555148 78:0.117414980137 79:0.0887252174354 80:0.0864465066731 81:0.0656257763869 82:0.0525845513843 
24 1:0.0052888912396 2:0.00334043101354 3:0.0012434015376 4:0.00122461523603 5:0.00460659033689 6:0.0356977138086 7:0.0236465834364 8:0.0157938494572 9:0.0209984718109 10:0.0603114230337 11:0.00900437597144 12:0.00408594550018 13:0.027176657274 14:0.00525482133529 15:0.00691373880462 16:0.0219506347966 17:0.00606608507249 18:0.0276652893901 19:0.0281024401688 20:0.238335931048 21:0.0483008174819 22:0.0489808656514 23:0.00769824431333 24:0.054603666505 25:0.0662190844106 26:0.0259372655202 27:0.216552362748 28:0.107215241875 29:0.0301666688958 30:0.0215389596355 31:0.0746081912326 32:0.313681347068 33:0.0667183419434 34:0.0539054660873 35:0.0574846629064 36:0.243181153352 37:0.053519330439 38:0.0348272434933 39:0.341308003153 40:0.104531832939 41:0.125910487561 42:0.378884452673 43:0.0639192354158 44:0.526445159181 45:0.208785250449 46:0.492958109564 47:0.0765321555521 48:0.434854107596 49:0.23991200755 50:0.427203891285 51:0.437204973447 52:0.525863325864 53:0.717473811205 54:0.713368173008 55:1.0 56:0.745610319725 57:0.679700469181 58:0.682691022889 59:0.56568308664 60:0.582973046176 61:0.616464628104 62:0.748795654492 63:0.458149288486 64:0.573691298677 65:0.633123615114 66:0.833137450809 67:0.839274499494 68:0.850727535845 69:0.681976200158 70:0.611261154261 71:0.564802559767 72:0.587111839756 73:0.49120408127 74:0.56345659266 75:0.49988810061 76:0.483538035268 77:0.472846435608 78:0.443696679151 79:0.409593432505 80:0.36154640368 81:0.302085832731 82:0.244305771024 
24 1:0.00297552911717 2:0.00103888477547 3:0.000471477671707 4:0.00171038447535 5:0.00534195709432 6:0.0338228753859 7:0.0210517697751 8:0.0134760107636 9:0.0181115015491 10:0.0552371266429 11:0.00968554725887 12:0.0038745036284 13:0.0352480358145 14:0.0113027078872 15:0.00505413536181 16:0.043537277923 17:0.00617198250199 18:0.0707746606923 19:0.0398561933133 20:0.164262764458 21:0.0355617212872 22:0.0175346434087 23:0.0116697540609 24:0.0164629551546 25:0.02399453418 26:0.0305665377116 27:0.205558197995 28:0.074064166432 29:0.0591652211315 30:0.0686151650615 31:0.175257134824 32:0.191334440728 33:0.0557551275807 34:0.0287798207061 35:0.0371218028341 36:0.219088768367 37:0.033442364203 38:0.0575954368356 39:0.338559494347 40:0.0968574961629 41:0.194685599922 42:0.355847929174 43:0.0231785662558 44:0.539417207233 45:0.162228145501 46:0.590320889454 47:0.19405370234 48:0.350137543154 49:0.295690399476 50:0.327336784083 51:0.538923519837 52:0.443662104717 53:0.580479189255 54:0.58323528647 55:0.580159331688 56:0.639146249209 57:0.606038327685 58:0.514332217618 59:0.619288717257 60:0.600414814798 61:0.720565946459 62:0.517026135789 63:0.502842141957 64:0.603911131037 65:0.607347323073 66:0.719291391936 67:1.0 68:0.993158418394 69:0.729352170586 70:0.727908898544 71:0.663734585686 72:0.70010139469 73:0.788932464882 74:0.747541953247 75:0.703987374907 76:0.671335809254 77:0.629550390578 78:0.556323128544 79:0.478098311377 80:0.473008177937 81:0.459923207612 82:0.434356832233 
15 1:0.00521907552233 2:0.00241488220641 3:0.000613065491188 4:0.00125476281139 5:0.0033025402074 6:0.013561352131 7:0.00427801448107 8:0.00303755737968 9:0.0133263519622 10:0.0850612336983 11:0.0324190098015 12:0.020775789801 13:0.0396046921713 14:0.00748256755805 15:0.00700317958864 16:0.0249275021144 17:0.00474335918949 18:0.0279587798073 19:0.00773692717463 20:0.0489010508044 21:0.0125802083923 22:0.162879418864 23:0.0577620431516 24:0.167518718485 25:0.063585212656 26:0.00621588134697 27:0.0424839412776 28:0.0536725387254 29:0.102282615267 30:0.353503702075 31:0.0785404645557 32:0.0506798068481 33:0.0387441931112 34:0.0338876056903 35:0.257554071934 36:0.0509064887641 37:0.056061100489 38:0.0887094128294 39:0.403347436423 40:0.114711777864 41:0.179845134278 42:0.583921469887 43:0.18012516602 44:0.19462209583 45:0.45581875606 46:0.0579659546981 47:0.425072946447 48:0.130401784969 49:0.657028686761 50:0.372183435255 51:0.722719220175 52:0.448125026489 53:0.462957521964 54:0.86552096836 55:0.792076495783 56:0.719785734671 57:0.719406395198 58:0.569274843242 59:0.655144883844 60:0.689669191181 61:0.662252227158 62:0.543503774726 63:0.539362530037 64:0.691852792234 65:0.600507348698 66:0.422041389895 67:0.77665381474 68:0.576407221584 69:1.0 70:0.776159230054 71:0.733568565838 72:0.758262130869 73:0.771338812366 74:0.793856708006 75:0.686861823908 76:0.689722901444 77:0.655929369882 78:0.704658104691 79:0.670387666046 80:0.675802319613 81:0.68885027937 82:0.690440241179 
27 1:0.00137236885377 2:0.000799828335918 3:0.000362508234205 4:0.000409311666263 5:0.000736193067464 6:0.00314649558143 7:0.00140458350732 8:0.000642974530263 9:0.00113128337356 10:0.00552566756385 11:0.0016170224991 12:0.00146629379924 13:0.00923252915168 14:0.00321524905249 15:0.00278042507962 16:0.0156397510291 17:0.00306423115051 18:0.0248196889819 19:0.00545747048448 20:0.0448198922164 21:0.0102184581683 22:0.174855045163 23:0.049955843686 24:0.131427346595 25:0.0505212578618 26:0.00496268264083 27:0.0280280662592 28:0.0210249156184 29:0.0176723248727 30:0.012821875024 31:0.00982833890699 32:0.00772355445288 33:0.00388435866134 34:0.0339593273471 35:0.324739733236 36:0.0699531997117 37:0.0646846157141 38:0.0448328447986 39:0.0912836062112 40:0.0949516022805 41:0.201811330976 42:0.693514823274 43:0.14371863505 44:0.0428829567046 45:0.014331481747 46:0.082214265052 47:0.693419738813 48:0.154642641727 49:0.148336786241 50:0.288605666415 51:0.537608293233 52:0.0729028384843 53:0.241413460378 54:1.0 55:0.235695258556 56:0.511863209979 57:0.48393234259 58:0.177552995427 59:0.722135860993 60:0.0852634493448 61:0.624695671167 62:0.0859782756698 63:0.517585657287 64:0.35661642023 65:0.0805485785508 66:0.379669099529 67:0.349050279003 68:0.124269648731 69:0.240942889929 70:0.307005736696 71:0.267780594773 72:0.241516211245 73:0.206781237852 74:0.189273828752 75:0.189134240011 76:0.192044542923 77:0.113788086575 78:0.104634632341 79:0.126123094491 80:0.0674163346043 81:0.0789491731224 82:0.0597368597857 
18 1:0.0136220773675 2:0.00772674263754 3:0.00322360353014 4:0.00275987716688 5:0.00275280324745 6:0.00639075642533 7:0.00475171463589 8:0.00414678921791 9:0.00471516212649 10:0.00838247610719 11:0.00688849245749 12:0.0115646924186 13:0.0723274001148 14:0.0317651968225 15:0.0162039983686 16:0.0252086042957 17:0.0179935512842 18:0.0224685188433 19:0.0222875724345 20:0.165172476757 21:0.0414279086965 22:0.0599810636176 23:0.0198441704588 24:0.0455632414053 25:0.259939280247 26:0.0223088310722 27:0.0525362147315 28:0.144754736631 29:0.445139483792 30:0.0998178897575 31:0.11122813796 32:0.305884304795 33:0.0844688588877 34:0.150929827573 35:0.472504186376 36:0.184554512243 37:0.547536291794 38:0.223941829285 39:0.682575151834 40:0.425112173741 41:0.546828009266 42:0.69448114439 43:0.885065462897 44:0.866967379301 45:0.719278530014 46:0.802136668357 47:0.859356274119 48:0.858155572131 49:0.847960286572 50:0.826649162991 51:0.972967033911 52:1.0 53:0.989448748666 54:0.855843739865 55:0.753575892321 56:0.588605149081 57:0.538388425815 58:0.397602362201 59:0.418943007093 60:0.325239068371 61:0.25453376531 62:0.2113038405 63:0.187625475794 64:0.0905198601389 65:0.0655954580703 66:0.0957639018062 67:0.0684583896044 68:0.0434176230489 69:0.0316828206697 70:0.0334026874238 71:0.0166651817071 72:0.0244053227311 73:0.0298912151495 74:0.0339615847582 75:0.0304873614818 76:0.0444926673178 77:0.0129800860402 78:0.0190514109938 79:0.0170870915751 80:0.0100156300152 81:0.00911110133752 82:0.0142957521399 
41 1:0.000576959337671 2:0.000511259978253 3:0.000278547018729 4:0.000224057040905 5:0.000122086351172 6:0.000906452350642 7:0.000742899546216 8:0.000386176531951 9:0.000327657834575 10:0.003281902574 11:0.00141638120685 12:0.000562455577276 13:0.00498224923186 14:0.00279573330838 15:0.00104807296436 16:0.00964319032425 17:0.00231459945588 18:0.0165631774768 19:0.0055185139938 20:0.0251479404008 21:0.00827100530072 22:0.0482394626517 23:0.00926987041493 24:0.125706191166 25:0.286437513995 26:0.0196989799972 27:0.0696834760494 28:0.0452420669725 29:0.0345244833919 30:0.0283977502776 31:0.02623840763 32:0.0256275269252 33:0.0235990711823 34:0.029157522738 35:0.0411592486353 36:0.162814695908 37:0.268227744423 38:0.0687475657741 39:0.0771293943589 40:0.0436287282761 41:0.058915106385 42:0.0757210729251 43:0.162543299833 44:0.884843011189 45:0.0909559476436 46:0.065547629637 47:0.0480545692578 48:0.0929534707987 49:0.766834041521 50:0.155425170324 51:0.159316846541 52:0.43680847055 53:0.991594004146 54:0.264022429104 55:0.279715428208 56:1.0 57:0.236418439851 58:0.379966334196 59:0.429794259979 60:0.0577756047365 61:0.649785497481 62:0.0719017175557 63:0.618966944014 64:0.0711085975636 65:0.587699535027 66:0.367310578825 67:0.0981772979695 68:0.370287472712 69:0.296410661831 70:0.140592473909 71:0.217681349399 72:0.268154127098 73:0.233537066887 74:0.222490722499 75:0.191256558011 76:0.177848219009 77:0.18315175344 78:0.16603515232 79:0.114077437676 80:0.117752911036 81:0.113334876354 82:0.0880537827023 
41 1:0.000875373796355 2:0.000759758879327 3:0.000393854356674 4:0.000274862456212 5:0.000173503066933 6:0.002309623633 7:0.00161580596064 8:0.000772587391781 9:0.000436454173638 10:0.00498883177355 11:0.00226982490648 12:0.000831696128734 13:0.00734610522411 14:0.00418889615052 15:0.00138496013988 16:0.0145844345789 17:0.00330763748254 18:0.0195433449187 19:0.00700176272946 20:0.0297065236733 21:0.0101126722598 22:0.0529700881106 23:0.0107463300479 24:0.138766480328 25:0.298780777993 26:0.0209767429501 27:0.0599142470412 28:0.0313485655917 29:0.0172013014188 30:0.0102969034364 31:0.00677953875446 32:0.00373071961243 33:0.00818248053536 34:0.0172675980091 35:0.0307054507727 36:0.144560343653 37:0.276205881415 38:0.0695437094671 39:0.0672023388204 40:0.0278391827712 41:0.0243852334725 42:0.0176193976749 43:0.0978436124635 44:0.825634399892 45:0.13571743219 46:0.11701367229 47:0.124113455878 48:0.183053544902 49:0.648007323384 50:0.042365199189 51:0.121027925573 52:0.494893484759 53:0.996820470826 54:0.173715935703 55:0.1559979711 56:1.0 57:0.285198433451 58:0.398020567224 59:0.457412480139 60:0.209524540563 61:0.675437407937 62:0.0611194559683 63:0.639876486701 64:0.0434344061925 65:0.614928195578 66:0.462127969894 67:0.0523102247119 68:0.457233798803 69:0.391992377933 70:0.150533752813 71:0.237144804612 72:0.355787022315 73:0.323983455696 74:0.301726485714 75:0.269171951932 76:0.258798850713 77:0.300765920143 78:0.326544201645 79:0.185315871985 80:0.221560812242 81:0.260328156261 82:0.19489475451 
20 1:0.010357096455 2:0.00817110550419 3:0.00479540120343 4:0.00530598329682 5:0.00752640540132 6:0.0220161862117 7:0.00678835749921 8:0.00118437170189 9:0.00297688480838 10:0.0101232336333 11:0.0017577332002 12:0.00362261699862 13:0.0077217455804 14:0.00964446319039 15:0.024434182719 16:0.116432323145 17:0.018504885576 18:0.0224773781839 19:0.0101142034038 20:0.0286293796249 21:0.00712964780774 22:0.122113366486 23:0.0354103348948 24:0.0720674371651 25:0.0221095006029 26:0.00621975282051 27:0.0301821559275 28:0.218837886492 29:0.060428935905 30:0.0578941200617 31:0.208542886975 32:0.102846775125 33:0.0254744006233 34:0.0233355103911 35:0.204919575605 36:0.0766572169568 37:0.245436016444 38:0.0612860084055 39:0.160193028634 40:0.444743702239 41:0.247741913921 42:0.601723338004 43:0.24192891573 44:0.65337236813 45:0.644378972726 46:0.22796746751 47:0.617664818973 48:0.639258433135 49:0.35464704422 50:0.531917441479 51:0.652448614702 52:0.653789195988 53:1.0 54:0.730715204247 55:0.992754045962 56:0.655624467406 57:0.75533669062 58:0.516873981358 59:0.68627538159 60:0.633476884376 61:0.638749120435 62:0.553286374103 63:0.572228301168 64:0.588809585556 65:0.641182648469 66:0.689498644753 67:0.751517206794 68:0.703265615258 69:0.646091769502 70:0.651691610344 71:0.641916617025 72:0.604459406316 73:0.568920286143 74:0.521665054585 75:0.453858466132 76:0.349341191118 77:0.294568107297 78:0.243708468735 79:0.16495040643 80:0.135294958461 81:0.11552731516 82:0.109042090846 
20 1:0.0142593203601 2:0.0105472043129 3:0.00584939998423 4:0.00636797825975 5:0.00937601922596 6:0.0314822892562 7:0.0120649857322 8:0.0031187946023 9:0.00222155061912 10:0.0178193930831 11:0.00740834462605 12:0.00440208429375 13:0.013278057924 14:0.0144654262925 15:0.0258171283588 16:0.126778850622 17:0.0289107330196 18:0.0450167632674 19:0.00636469117737 20:0.0516566579846 21:0.00745209739216 22:0.122418631405 23:0.0382324655674 24:0.146452937498 25:0.0402160392912 26:0.00852898670917 27:0.0135575773555 28:0.232868311517 29:0.0733790631683 30:0.076953933739 31:0.149627691468 32:0.210722971869 33:0.0478807341851 34:0.0186056671456 35:0.192638606056 36:0.110309981437 37:0.164800986851 38:0.204673307334 39:0.0567069749438 40:0.430014174351 41:0.245114563681 42:0.680783412139 43:0.0976075510168 44:0.63468171379 45:0.375820142916 46:0.467646509924 47:0.673867020085 48:0.500204517286 49:0.36122615689 50:0.660573553328 51:0.512576545921 52:0.795494940825 53:0.84679812282 54:0.992785562432 55:0.719594709562 56:0.900373315182 57:0.815620702818 58:0.829666189043 59:0.777792510413 60:0.943997224046 61:0.80555713952 62:1.0 63:0.719482013342 64:0.711847977524 65:0.806668744058 66:0.892518327751 67:0.968460364179 68:0.83287276393 69:0.700828439715 70:0.728864096925 71:0.662717598616 72:0.551596211555 73:0.547845825522 74:0.438115547764 75:0.489906626674 76:0.4330183601 77:0.432870354498 78:0.421181587866 79:0.397513090066 80:0.383190392904 81:0.34961350774 82:0.305187586049 
